"","State","County","Year","annual_median_income","prevalence_asthma_adults_age_adjusted","COPD_deaths_age_adjusted","percent_educ","percent_female","percent_no_leisure","percent_nonwhite","percent_obesity","percent_poverty","smoking_crude"
"90","Alabama","Madison",2019,68609,9.6,83.4,81.1,51.1,27.8,31.1,32.5,11.5,15.7
"91","Alabama","Marengo",2018,37733,11.7,52.5,83.8,52.8,33.6,53,44.7,24,21.7
"92","Alabama","Marengo",2019,38838,10.8,68.8,82.2,52.9,39.8,53.3,43.6,24.8,22.6
"93","Alabama","Marion",2018,37887,10.7,115.6,79.7,50.5,31.5,5.9,34.9,20.2,22.6
"94","Alabama","Marion",2019,44675,10.1,116.1,77,50.5,34.2,6.1,35.9,16.9,22.8
"95","Alabama","Marshall",2018,46233,10.5,109.1,80.9,50.6,31.3,6.9,38.8,18.3,22.2
"96","Alabama","Marshall",2019,48913,9.8,95.5,76.7,50.7,36.2,7.1,38,15.7,21.9
"97","Alabama","Mobile",2018,43598,10.8,77.5,86.2,52.4,29.2,40.8,37,20.8,20.2
"98","Alabama","Mobile",2019,49492,9.7,80.1,81.9,52.4,32.1,41.1,36.4,17.7,20.8
"99","Alabama","Monroe",2018,39556,11.8,65.8,83.7,52.4,37,44.9,42.2,21.9,23.8
"100","Alabama","Monroe",2019,40005,10.9,64.3,83.6,52.4,41.2,44.6,41.1,23.3,23.6
"101","Alabama","Montgomery",2018,49640,10.9,77.2,85.6,52.8,29.9,64.1,36.8,20.1,19.4
"102","Alabama","Montgomery",2019,52711,9.9,67.7,80.2,53,31.9,64.6,37.6,15.8,19.6
"103","Alabama","Morgan",2018,52797,10.2,93,83.3,50.8,27.3,17.1,37.2,13.2,20.1
"104","Alabama","Morgan",2019,54355,9.6,83.2,78.7,50.9,31.2,17.2,34.5,13.7,20.1
"105","Alabama","Perry",2018,26814,13,64.3,78.1,53.5,40.8,69.9,46.3,35.3,24.6
"106","Alabama","Perry",2019,29572,11.9,92.1,79.4,53.4,43.4,69.6,46.2,33.9,22.7
"107","Alabama","Pickens",2018,37586,11.3,90.9,80.6,50.1,34.2,42.2,41.9,23.1,22.6
"108","Alabama","Pickens",2019,40249,10.3,87.2,79.9,49.8,38.3,42,40.1,24.3,22.6
"109","Alabama","Pike",2018,37259,11.3,65.9,81,51.8,31.8,42.5,40.8,23.6,19.4
"110","Alabama","Pike",2019,41271,10.3,66.8,79,51.9,33.8,42.5,36.3,21.8,18.3
"111","Alabama","Randolph",2018,40546,10.9,104.7,78.8,51.3,31.5,22.1,36.2,19.7,21.6
"112","Alabama","Randolph",2019,42922,10.1,89.9,77.7,51.4,34.7,21.9,34.5,17.5,21.9
"113","Alabama","Russell",2018,39104,11.3,81.7,83.3,52,32.8,50.2,38.2,21.7,22.2
"114","Alabama","Russell",2019,43670,10.6,80.5,81.4,52.1,36.3,50.2,38.5,18.9,21.7
"115","Alabama","Shelby",2018,75663,9.2,73.3,92.2,51.7,22.8,17.1,32.3,8,14.7
"116","Alabama","Shelby",2019,77801,8.7,71.8,80.4,51.7,23.6,17.5,30.2,6.2,15
"117","Alabama","St. Clair",2018,57284,10.1,91.1,84.8,50.4,29.8,12.2,37.4,12,21.1
"118","Alabama","St. Clair",2019,65403,9.9,82.7,81.7,50.5,31.8,12.5,35.2,11.2,22.8
"119","Alabama","Sumter",2018,27859,12.2,67.5,84.2,54.5,35.2,74.5,43.3,34.7,20.5
"120","Alabama","Sumter",2019,29209,11.6,70.9,82.6,54.3,39.5,74.2,43.5,36.4,20.4
"121","Alabama","Talladega",2018,41630,11.2,94.1,81,52,34.3,35.8,38.5,19.3,23.1
"122","Alabama","Talladega",2019,47719,10.7,90.6,78.3,51.8,36,36,37.1,17.4,24.2
"123","Alabama","Tallapoosa",2018,42205,11.1,95.5,80.5,51.4,31.1,29.7,34.9,19.7,22.3
"124","Alabama","Tallapoosa",2019,47100,10.4,92.9,77.5,51.5,36.6,29.6,38.6,16,22.2
"125","Alabama","Tuscaloosa",2018,52557,10.4,78.6,88.4,51.8,26.2,35.6,35.6,16.8,19.1
"126","Alabama","Tuscaloosa",2019,52307,9.9,73.4,81.9,51.9,31.3,35.9,38.3,16.2,19.3
"127","Alabama","Walker",2018,45434,10.7,88.5,80.9,51.2,30.9,8.9,36.4,17.9,23.5
"128","Alabama","Walker",2019,45991,10,78,80.5,51.2,36.2,9,35.3,17.3,24.8
"129","Alabama","Washington",2018,44424,11.2,68.3,80.4,51,33.2,33.6,34.7,17.6,22.9
